agent_id,time,lng,lat
xa_car_1,2022-05-12 16:14:00,108.95795677232438,34.139658216549265
xa_car_1,2022-05-12 16:14:05,108.95725918247751,34.14045885184404
xa_car_1,2022-05-12 16:14:11,108.95643115426898,34.140761066327656
xa_car_1,2022-05-12 16:14:17,108.9567025850492,34.140938980564
xa_car_1,2022-05-12 16:14:23,108.95529396177646,34.141342597188405
xa_car_1,2022-05-12 16:14:29,108.95387848257826,34.14145579235678
xa_car_1,2022-05-12 16:14:35,108.95366086164024,34.14242066768695
xa_car_1,2022-05-12 16:14:41,108.9532888209283,34.14293887759354
xa_car_1,2022-05-12 16:14:47,108.95293418887276,34.142669042750484
xa_car_1,2022-05-12 16:14:53,108.95301694814265,34.14344722975895
xa_car_1,2022-05-12 16:14:59,108.95230400858372,34.143395406926714
xa_car_1,2022-05-12 16:15:06,108.95092637973003,34.14407685995439
xa_car_1,2022-05-12 16:15:11,108.95070033725588,34.14482174665081
xa_car_1,2022-05-12 16:15:17,108.95010304300688,34.14469494822722
xa_car_1,2022-05-12 16:15:23,108.95092183195284,34.14509081365684
xa_car_1,2022-05-12 16:15:29,108.95062596265365,34.14533206498042
xa_car_1,2022-05-12 16:15:35,108.94998427913256,34.1457699386332
xa_car_1,2022-05-12 16:15:41,108.94970343764342,34.146539782557035
xa_car_1,2022-05-12 16:15:47,108.94832703546712,34.146789584303846
xa_car_1,2022-05-12 16:15:53,108.94832927218738,34.1471907611583
xa_car_1,2022-05-12 16:15:59,108.94703495344211,34.14801532156
xa_car_1,2022-05-12 16:16:05,108.94686421941816,34.147843888711954
xa_car_1,2022-05-12 16:16:11,108.94673230011551,34.14827545503117
xa_car_1,2022-05-12 16:16:17,108.94649876193009,34.149021010419474
xa_car_1,2022-05-12 16:16:23,108.94613297877778,34.14921665591938
xa_car_1,2022-05-12 16:16:29,108.946073418587,34.14929895940537
xa_car_1,2022-05-12 16:16:36,108.94511614788594,34.150432601749884
xa_car_1,2022-05-12 16:16:41,108.94427714228549,34.15109280487484
xa_car_1,2022-05-12 16:16:46,108.94386289978372,34.15148226538071
xa_car_1,2022-05-12 16:16:52,108.9431354719456,34.15215933373129
xa_car_1,2022-05-12 16:16:59,108.94244382543788,34.15271731200108
xa_car_1,2022-05-12 16:17:05,108.94199892731804,34.15375040483697
xa_car_1,2022-05-12 16:17:11,108.94186022397444,34.15369551934455
xa_car_1,2022-05-12 16:17:17,108.94202746764746,34.15379089265325
xa_car_1,2022-05-12 16:17:23,108.94110343579376,34.15444748716733
xa_car_1,2022-05-12 16:17:28,108.94085736596936,34.15461672753157
